Name of the Book,Price of the book,Quantity of book available
A Light in the Attic,51.77,22
Tipping the Velvet,53.74,20
Soumission,50.10,20
Sharp Objects,47.82,20
Sapiens: A Brief History of Humankind,54.23,20
The Requiem Red,22.65,19
The Dirty Little Secrets of Getting Your Dream Job,33.34,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,19
The Black Maria,52.15,19
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,19
Shakespeare's Sonnets,20.66,19
Set Me Free,17.46,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,19
Rip it Up and Start Again,35.02,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,19
Olio,23.88,19
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,19
Libertarianism for Beginners,51.33,19
It's Only the Himalayas,45.17,19
In Her Wake,12.84,19
How Music Works,37.32,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,19
Chase Me (Paris Nights #2),25.27,19
Black Dust,34.53,19
Birdsong: A Story in Pictures,54.64,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,19
Aladdin and His Wonderful Lamp,53.13,19
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.30,18
Wall and Piece,44.18,18
The Four Agreements: A Practical Guide to Personal Freedom,17.66,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,18
The Elephant Tree,23.82,18
The Bear and the Piano,36.89,18
Sophie's World,15.94,18
Penny Maybe,33.29,18
Maude (1883-1993):She Grew Up with the country,18.02,18
"In a Dark, Dark Wood",19.63,18
Behind Closed Doors,52.22,18
You can't bury them all: Poems,33.63,17
Slow States of Collapse: Poems,57.31,17
Reasons to Stay Alive,26.41,17
Private Paris (Private #10),47.61,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,17
Without Borders (Wanderlove #1),45.07,16
When We Collided,31.77,16
"We Love You, Charlie Freeman",50.27,16
Untitled Collection: Sabbath Poems 2014,14.27,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,16
Unicorn Tracks,18.78,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,16
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,16
This One Summer,19.49,16
Thirst,17.27,16
The Torch Is Passed: A Harding Family Story,19.09,16
The Secret of Dreadwillow Carse,56.13,16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,16
The Past Never Ends,56.50,16
The Natural History of Us (The Fine Art of Pretending #2),45.22,16
The Nameless City (The Nameless City #1),38.16,16
The Murder That Never Was (Forensic Instincts #5),54.11,16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,16
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,16
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,16
The Death of Humanity: and the Case for Life,58.11,16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,16
The Art Forger,40.76,16
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,16
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,16
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,16
Soul Reader,39.58,16
Security,39.25,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,16
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,16
Princess Between Worlds (Wide-Awake Princess #5),13.34,16
"Pop Gun War, Volume 1: Gift",18.97,16
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,16
Patience,10.16,16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,16
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,16
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,16
On a Midnight Clear,14.07,16
Obsidian (Lux #1),14.86,16
My Paris Kitchen: Recipes and Stories,33.37,16
Masks and Shadows,56.40,16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,16
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,16
Join,35.67,16
In the Country We Love: My Family Divided,22.00,16
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,16
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,16
I am a Hero Omnibus Volume 1,54.63,16
How to Be Miserable: 40 Strategies You Already Use,46.03,16
Her Backup Boyfriend (The Sorensen Family #1),33.97,16
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,16
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,16
First and First (Five Boroughs #3),15.97,16
Fifty Shades Darker (Fifty Shades #2),21.96,16
